position,RW
minutes,57
passes_completed,6
passes,8
dribbles_completed,1
dribbles,3
passes_completed_short,4
passes_short,4
passes_completed_medium,0
passes_medium,1
passes_completed_long,0
passes_long,1
passes_total_distance,57
passes_free_kicks,0
through_balls,0
passes_pressure,6
passes_switches,0
crosses,0
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,2
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,67
assisted_shots,0
fouled,0
pens_won,0
tackles,0
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,0
pressures,20
pressure_regains,8
clearances,0
errors,0
aerials_won,0
aerials_lost,3
ball_recoveries,2
pens_conceded,0
fouls,1
cards_yellow_red,0
